question,answer
"73826, 596, 1027, 1695, 449, 499, 30","72, 9167, 956, 1027, 2731, 13, 1268, 922, 6261, 30"
"72, 9167, 956, 1027, 2731, 13, 1268, 922, 6261, 30","72, 3940, 2978, 6051, 13"
"72, 3940, 2978, 6051, 13","2940, 527, 499, 2133, 311, 2978, 30"
"2940, 527, 499, 2133, 311, 2978, 30","72, 2846, 2133, 311, 281, 641, 13"
"72, 2846, 2133, 311, 281, 641, 13","5269, 656, 499, 1093, 433, 779, 3117, 30"
"5269, 656, 499, 1093, 433, 779, 3117, 30","72, 1093, 433, 779, 3117, 13, 856, 6989, 527, 5128, 1695, 1314, 1457, 13"
"72, 1093, 433, 779, 3117, 13, 856, 6989, 527, 5128, 1695, 1314, 1457, 13","72, 6562, 499, 15369, 13"
"275, 596, 459, 28360, 1938, 3432, 13","72, 1440, 13, 602, 1781, 433, 1253, 11422, 13"
"72, 1440, 13, 602, 1781, 433, 1253, 11422, 13","275, 596, 279, 6278, 315, 7474, 11, 433, 13434, 956, 11422, 3432, 13"
"275, 596, 279, 6278, 315, 7474, 11, 433, 13434, 956, 11422, 3432, 13","9210, 1053, 387, 16682, 13"
"9210, 1053, 387, 16682, 13","76515, 11, 5423, 2533, 433, 596, 78976, 12628, 4994, 13"
"76515, 11, 5423, 2533, 433, 596, 78976, 12628, 4994, 13","72, 1440, 11, 433, 1053, 387, 28201, 422, 433, 436, 2692, 323, 433, 574, 4106, 4994, 13"
"72, 1440, 11, 433, 1053, 387, 28201, 422, 433, 436, 2692, 323, 433, 574, 4106, 4994, 13","9891, 11, 433, 1053, 387, 13, 220"
"9891, 11, 433, 1053, 387, 13, 220","72, 2216, 6562, 433, 5828, 956, 779, 4106, 1475, 1938, 13, 220"
"72, 2216, 6562, 433, 5828, 956, 779, 4106, 1475, 1938, 13, 220","2727, 2288, 13, 602, 649, 956, 3868, 3156, 12688, 13"
"2727, 2288, 13, 602, 649, 956, 3868, 3156, 12688, 13","72, 1093, 12688, 2288, 11, 719, 7170, 433, 5334, 2288, 9439, 13"
"72, 1093, 12688, 2288, 11, 719, 7170, 433, 5334, 2288, 9439, 13","72, 4265, 4856, 387, 9439, 1109, 4106, 13"
"72, 4265, 4856, 387, 9439, 1109, 4106, 13","2727, 2288, 13"
"275, 3250, 956, 1427, 1633, 6555, 4994, 3432, 13","9514, 2351, 1314, 13, 602, 1781, 433, 596, 2133, 311, 11422, 3010, 13"
"9514, 2351, 1314, 13, 602, 1781, 433, 596, 2133, 311, 11422, 3010, 13","258, 279, 6278, 315, 279, 7474, 11, 433, 13434, 956, 387, 84353, 13"
"258, 279, 6278, 315, 279, 7474, 11, 433, 13434, 956, 387, 84353, 13","9210, 8434, 956, 2873, 1314, 13"
"9210, 8434, 956, 2873, 1314, 13","25742, 287, 430, 433, 596, 927, 78976, 12628, 4994, 11, 430, 1053, 387, 16682, 13"
"25742, 287, 430, 433, 596, 927, 78976, 12628, 4994, 11, 430, 1053, 387, 16682, 13","327, 33839, 11, 433, 8434, 956, 387, 6555, 422, 433, 3940, 84353, 13, 433, 596, 2288, 4106, 13"
"327, 33839, 11, 433, 8434, 956, 387, 6555, 422, 433, 3940, 84353, 13, 433, 596, 2288, 4106, 13","72, 1440, 11, 499, 2351, 11112, 1314, 13"
"72, 1440, 11, 499, 2351, 11112, 1314, 13","72, 6562, 433, 1053, 7155, 1022, 832, 1938, 13"
"72, 6562, 433, 1053, 7155, 1022, 832, 1938, 13","9210, 596, 1268, 602, 2733, 11, 602, 1390, 12688, 311, 2586, 5246, 13"
"9210, 596, 1268, 602, 2733, 11, 602, 1390, 12688, 311, 2586, 5246, 13","72, 4774, 279, 12688, 11, 719, 433, 5334, 2216, 9439, 7170, 13"
"72, 4774, 279, 12688, 11, 719, 433, 5334, 2216, 9439, 7170, 13","72, 1440, 1148, 499, 3152, 11, 719, 602, 4265, 4856, 387, 9439, 1109, 4106, 13"
"72, 1440, 1148, 499, 3152, 11, 719, 602, 4265, 4856, 387, 9439, 1109, 4106, 13","9210, 596, 7041, 1268, 602, 2733, 13"
"72, 6562, 433, 574, 264, 66284, 1938, 3432, 13","9210, 374, 837, 13, 602, 3987, 433, 3250, 956, 11422, 13"
"9210, 374, 837, 13, 602, 3987, 433, 3250, 956, 11422, 13","275, 8434, 956, 11422, 304, 279, 6278, 315, 279, 7474, 13"
"275, 8434, 956, 11422, 304, 279, 6278, 315, 279, 7474, 13","275, 8434, 956, 2873, 1314, 422, 433, 3940, 84353, 1314, 1457, 13"
"275, 8434, 956, 2873, 1314, 422, 433, 3940, 84353, 1314, 1457, 13","275, 1053, 387, 16682, 422, 433, 3940, 84353, 304, 78976, 8547, 9282, 13"
"275, 1053, 387, 16682, 422, 433, 3940, 84353, 304, 78976, 8547, 9282, 13","3852, 11422, 1314, 1457, 1053, 387, 60791, 13"
"3852, 11422, 1314, 1457, 1053, 387, 60791, 13","9210, 596, 1314, 11, 433, 2216, 1053, 387, 13"
"9210, 596, 1314, 11, 433, 2216, 1053, 387, 13","72, 1390, 433, 311, 7155, 1523, 1063, 13"
"72, 1390, 433, 311, 7155, 1523, 1063, 13","72, 1440, 1148, 499, 3152, 11, 602, 649, 956, 3868, 3156, 433, 596, 12688, 13"
"72, 1440, 1148, 499, 3152, 11, 602, 649, 956, 3868, 3156, 433, 596, 12688, 13","84028, 374, 2294, 13, 602, 6562, 433, 3287, 956, 636, 779, 9439, 7170, 3582, 13"
"84028, 374, 2294, 13, 602, 6562, 433, 3287, 956, 636, 779, 9439, 7170, 3582, 13","72, 1053, 4856, 3568, 449, 279, 12688, 1109, 279, 7474, 13"
"275, 596, 1778, 264, 6555, 1938, 13","9891, 11, 433, 374, 13"
"9891, 11, 433, 374, 13","275, 5992, 1093, 433, 1253, 11422, 5246, 13"
"275, 5992, 1093, 433, 1253, 11422, 5246, 13","9891, 11, 323, 602, 3987, 430, 433, 1587, 13"
"9891, 11, 323, 602, 3987, 430, 433, 1587, 13","35734, 374, 430, 30"
"35734, 374, 430, 30","72, 2216, 3021, 1268, 11422, 57698, 279, 3805, 13"
"72, 2216, 3021, 1268, 11422, 57698, 279, 3805, 13","2727, 2288, 13, 433, 2744, 50737, 779, 7878, 1306, 433, 62555, 13"
"2727, 2288, 13, 433, 2744, 50737, 779, 7878, 1306, 433, 62555, 13","9891, 11, 719, 602, 3021, 279, 3814, 3805, 1306, 433, 62555, 13"
"9891, 11, 719, 602, 3021, 279, 3814, 3805, 1306, 433, 62555, 13","54760, 30, 3249, 374, 433, 30"
"54760, 30, 3249, 374, 433, 30","28753, 499, 649, 1518, 279, 9958, 14268, 13"
"28753, 499, 649, 1518, 279, 9958, 14268, 13","72, 2216, 3987, 433, 62555, 3432, 13"
"72, 2216, 3987, 433, 62555, 3432, 13","76515, 11, 757, 2288, 13"
"285, 77, 956, 433, 264, 6555, 1938, 30","275, 2216, 374, 13"
"275, 2216, 374, 13","275, 5084, 430, 433, 1253, 11422, 3432, 13"
"275, 5084, 430, 433, 1253, 11422, 3432, 13","97525, 433, 690, 13"
"97525, 433, 690, 13","5269, 2586, 30"
"5269, 2586, 30","72, 1093, 1268, 2867, 279, 13180, 5334, 1306, 433, 62555, 13"
"72, 1093, 1268, 2867, 279, 13180, 5334, 1306, 433, 62555, 13","72, 2733, 279, 1890, 1648, 13, 433, 50737, 779, 1695, 1306, 433, 62555, 13"
"72, 2733, 279, 1890, 1648, 13, 433, 50737, 779, 1695, 1306, 433, 62555, 13","72, 5423, 3021, 279, 3814, 3805, 994, 433, 62555, 13"
"72, 5423, 3021, 279, 3814, 3805, 994, 433, 62555, 13","54760, 30, 3249, 30"
"54760, 30, 3249, 30","1820, 9958, 1427, 779, 1790, 12401, 1306, 433, 62555, 13"
"1820, 9958, 1427, 779, 1790, 12401, 1306, 433, 62555, 13","72, 2216, 1390, 433, 311, 11422, 3432, 13"
"72, 2216, 1390, 433, 311, 11422, 3432, 13","76515, 11, 779, 656, 602, 13"
"15357, 956, 499, 1781, 433, 596, 6555, 704, 30","9891, 11, 602, 1781, 779, 2288, 13"
"9891, 11, 602, 1781, 779, 2288, 13","72, 1781, 430, 433, 596, 2133, 311, 11422, 13"
"72, 1781, 430, 433, 596, 2133, 311, 11422, 13","72, 3987, 430, 433, 1587, 11422, 13"
"72, 3987, 430, 433, 1587, 11422, 13","9514, 1093, 279, 11422, 30"
"9514, 1093, 279, 11422, 30","1820, 13180, 5992, 779, 4335, 1306, 433, 62555, 13, 602, 3021, 433, 13"
"1820, 13180, 5992, 779, 4335, 1306, 433, 62555, 13, 602, 3021, 433, 13","72, 3619, 13, 11422, 1587, 1304, 433, 22843, 32981, 13"
"72, 3619, 13, 11422, 1587, 1304, 433, 22843, 32981, 13","72, 3021, 1455, 1268, 433, 374, 520, 3814, 1306, 433, 62555, 13"
"72, 3021, 1455, 1268, 433, 374, 520, 3814, 1306, 433, 62555, 13","5269, 2586, 30"
"5269, 2586, 30","9514, 649, 1518, 279, 9958, 779, 1790, 810, 9539, 1306, 433, 62555, 13"
"9514, 649, 1518, 279, 9958, 779, 1790, 810, 9539, 1306, 433, 62555, 13","72, 1053, 3021, 369, 433, 311, 11422, 3432, 13"
"72, 2216, 1390, 311, 733, 311, 279, 11573, 420, 9178, 13","9210, 10578, 1093, 2523, 13, 1148, 596, 279, 9282, 2133, 311, 387, 1093, 30"
"9210, 10578, 1093, 2523, 13, 1148, 596, 279, 9282, 2133, 311, 387, 1093, 30","72, 6755, 430, 433, 596, 2133, 311, 387, 8369, 420, 9178, 13"
"72, 6755, 430, 433, 596, 2133, 311, 387, 8369, 420, 9178, 13","285, 433, 2133, 311, 387, 4832, 11573, 9282, 30"
"285, 433, 2133, 311, 387, 4832, 11573, 9282, 30","72, 4510, 779, 13"
"72, 4510, 779, 13","19045, 13, 602, 3987, 433, 3250, 956, 7155, 1022, 420, 9178, 13"
"19045, 13, 602, 3987, 433, 3250, 956, 7155, 1022, 420, 9178, 13","72, 1440, 13, 602, 2216, 1390, 311, 733, 311, 279, 11573, 13"
"72, 1440, 13, 602, 2216, 1390, 311, 733, 311, 279, 11573, 13","8248, 499, 1440, 430, 79957, 9282, 374, 2216, 50235, 13"
"8248, 499, 1440, 430, 79957, 9282, 374, 2216, 50235, 13","9514, 2351, 1314, 13, 832, 9568, 433, 596, 4106, 11, 323, 1243, 279, 1828, 9568, 433, 596, 9439, 13"
"9514, 2351, 1314, 13, 832, 9568, 433, 596, 4106, 11, 323, 1243, 279, 1828, 9568, 433, 596, 9439, 13","72, 2216, 6562, 279, 9282, 1053, 1120, 4822, 279, 1890, 13"
"72, 2216, 6562, 279, 9282, 1053, 1120, 4822, 279, 1890, 13","72, 656, 2288, 13, 430, 1648, 584, 649, 617, 1057, 7640, 13205, 8469, 315, 892, 13"
"72, 656, 2288, 13, 430, 1648, 584, 649, 617, 1057, 7640, 13205, 8469, 315, 892, 13","76515, 11, 430, 1053, 1304, 2574, 264, 2763, 8831, 13"
"72, 1053, 1093, 311, 1935, 264, 8577, 311, 279, 11573, 420, 9178, 13","64, 8577, 311, 279, 11573, 1053, 387, 2523, 13, 1268, 374, 279, 9282, 2133, 311, 387, 30"
"64, 8577, 311, 279, 11573, 1053, 387, 2523, 13, 1268, 374, 279, 9282, 2133, 311, 387, 30","1820, 18057, 2795, 430, 433, 690, 387, 8369, 389, 279, 9178, 13"
"1820, 18057, 2795, 430, 433, 690, 387, 8369, 389, 279, 9178, 13","708, 656, 499, 1781, 433, 3358, 387, 4832, 9282, 369, 279, 11573, 30"
"708, 656, 499, 1781, 433, 3358, 387, 4832, 9282, 369, 279, 11573, 30","275, 10578, 1093, 433, 690, 387, 13"
"275, 10578, 1093, 433, 690, 387, 13","72, 2216, 3987, 433, 3250, 956, 636, 9439, 13"
"72, 2216, 3987, 433, 3250, 956, 636, 9439, 13","9210, 1053, 38339, 2574, 11, 602, 1390, 311, 733, 779, 25587, 13"
"9210, 1053, 38339, 2574, 11, 602, 1390, 311, 733, 779, 25587, 13","1820, 9282, 304, 79957, 374, 50235, 11, 779, 499, 2646, 1440, 13"
"1820, 9282, 304, 79957, 374, 50235, 11, 779, 499, 2646, 1440, 13","9210, 374, 837, 13, 279, 9282, 374, 15320, 10223, 13"
"9210, 374, 837, 13, 279, 9282, 374, 15320, 10223, 13","275, 1053, 387, 6555, 422, 279, 9282, 1053, 2646, 2349, 13"
"275, 1053, 387, 6555, 422, 279, 9282, 1053, 2646, 2349, 13","9210, 1053, 387, 2294, 11, 1243, 584, 1436, 3197, 2574, 31373, 13"
"9210, 1053, 387, 2294, 11, 1243, 584, 1436, 3197, 2574, 31373, 13","1904, 13, 45207, 9282, 1053, 1304, 2324, 8831, 13"
"275, 1053, 387, 6555, 311, 733, 311, 279, 11573, 36113, 420, 9178, 13","12840, 596, 279, 9282, 2133, 311, 387, 1093, 30, 602, 1253, 1390, 311, 733, 2288, 13"
"12840, 596, 279, 9282, 2133, 311, 387, 1093, 30, 602, 1253, 1390, 311, 733, 2288, 13","1820, 9282, 420, 9178, 374, 10171, 311, 387, 8369, 13"
"1820, 9282, 420, 9178, 374, 10171, 311, 387, 8369, 13","14724, 433, 387, 1695, 11573, 9282, 30"
"14724, 433, 387, 1695, 11573, 9282, 30","72, 1781, 433, 690, 387, 13"
"72, 1781, 433, 690, 387, 13","275, 8434, 956, 387, 1695, 422, 433, 2751, 9439, 420, 9178, 13"
"275, 8434, 956, 387, 1695, 422, 433, 2751, 9439, 420, 9178, 13","72, 1390, 420, 8577, 311, 387, 4832, 11, 602, 3987, 433, 27656, 8369, 13"
"72, 1390, 420, 8577, 311, 387, 4832, 11, 602, 3987, 433, 27656, 8369, 13","576, 79957, 9282, 374, 779, 36218, 11, 433, 596, 12266, 311, 1440, 1148, 3358, 3621, 13"
"576, 79957, 9282, 374, 779, 36218, 11, 433, 596, 12266, 311, 1440, 1148, 3358, 3621, 13","72, 1440, 13, 1475, 1938, 279, 9282, 5084, 2204, 13"
"72, 1440, 13, 1475, 1938, 279, 9282, 5084, 2204, 13","72, 1053, 3021, 433, 422, 433, 5828, 956, 2744, 779, 50235, 13"
"72, 1053, 3021, 433, 422, 433, 5828, 956, 2744, 779, 50235, 13","9210, 1053, 1304, 433, 8831, 369, 603, 311, 1304, 6787, 13"
"15339, 11, 1253, 602, 6604, 311, 71533, 4587, 30","576, 374, 1364, 13, 1268, 596, 433, 2133, 30"
"576, 374, 1364, 13, 1268, 596, 433, 2133, 30","72, 3077, 1027, 4560, 311, 1650, 499, 682, 1938, 13"
"72, 3077, 1027, 4560, 311, 1650, 499, 682, 1938, 13","68697, 922, 430, 13, 602, 574, 16204, 709, 13"
"68697, 922, 430, 13, 602, 574, 16204, 709, 13","275, 596, 17339, 13"
"275, 596, 17339, 13","708, 1148, 1051, 499, 8260, 757, 922, 30"
"708, 1148, 1051, 499, 8260, 757, 922, 30","2319, 11, 602, 1120, 4934, 311, 1518, 422, 499, 4934, 311, 15020, 704, 16986, 13"
"2319, 11, 602, 1120, 4934, 311, 1518, 422, 499, 4934, 311, 15020, 704, 16986, 13","19643, 11, 1148, 1550, 499, 1390, 311, 656, 30"
"19643, 11, 1148, 1550, 499, 1390, 311, 656, 30","37860, 584, 649, 733, 1518, 264, 5818, 477, 2555, 13"
"37860, 584, 649, 733, 1518, 264, 5818, 477, 2555, 13","9210, 10578, 1093, 2523, 13, 1095, 596, 656, 433, 13"
"9210, 10578, 1093, 2523, 13, 1095, 596, 656, 433, 13","72, 3358, 1518, 499, 16986, 1243, 13"
"72, 3358, 1518, 499, 16986, 1243, 13","4151, 499, 1243, 13, 47555, 13"
"6151, 11, 1268, 527, 499, 13, 374, 71533, 1070, 30","34474, 1802, 13, 1148, 596, 709, 30"
"34474, 1802, 13, 1148, 596, 709, 30","35734, 9167, 956, 499, 19089, 279, 4641, 30"
"35734, 9167, 956, 499, 19089, 279, 4641, 30","2465, 3958, 11, 602, 1047, 82569, 311, 656, 13"
"2465, 3958, 11, 602, 1047, 82569, 311, 656, 13","9210, 596, 682, 1314, 13"
"9210, 596, 682, 1314, 13","12840, 574, 279, 2944, 369, 701, 1650, 30"
"12840, 574, 279, 2944, 369, 701, 1650, 30","72, 1390, 311, 656, 2555, 16986, 449, 499, 13"
"72, 1390, 311, 656, 2555, 16986, 449, 499, 13","71631, 1695, 13, 1148, 1550, 499, 617, 304, 4059, 30"
"71631, 1695, 13, 1148, 1550, 499, 617, 304, 4059, 30","72, 574, 7422, 922, 9298, 264, 5818, 13"
"72, 574, 7422, 922, 9298, 264, 5818, 13","94317, 11, 1095, 596, 733, 1518, 264, 5818, 13"
"94317, 11, 1095, 596, 733, 1518, 264, 5818, 13","39830, 1243, 13"
"39830, 1243, 13","36341, 311, 499, 3010, 13"
"285, 71533, 2561, 30","9514, 2351, 7556, 311, 1077, 13"
"9514, 2351, 7556, 311, 1077, 13","72, 3077, 2663, 499, 264, 7895, 3115, 3432, 13"
"72, 3077, 2663, 499, 264, 7895, 3115, 3432, 13","72, 574, 13326, 3815, 2555, 13, 602, 37979, 13"
"72, 574, 13326, 3815, 2555, 13, 602, 37979, 13","2201, 3575, 13"
"2201, 3575, 13","23770, 499, 1205, 2555, 30"
"23770, 499, 1205, 2555, 30","3055, 499, 1390, 311, 656, 2555, 16986, 30"
"3055, 499, 1390, 311, 656, 2555, 16986, 30","285, 1070, 15038, 3361, 499, 4934, 311, 733, 30"
"285, 1070, 15038, 3361, 499, 4934, 311, 733, 30","5269, 922, 264, 5818, 30"
"5269, 922, 264, 5818, 30","64, 5818, 10578, 1695, 13"
"64, 5818, 10578, 1695, 13","6797, 757, 16986, 1243, 13"
"19553, 499, 3970, 279, 502, 3828, 304, 2978, 30","2201, 11, 602, 9167, 956, 13"
"2201, 11, 602, 9167, 956, 13","32158, 596, 2216, 5128, 13"
"32158, 596, 2216, 5128, 13","12612, 1077, 311, 757, 13"
"12612, 1077, 311, 757, 13","32158, 596, 539, 2288, 16615, 13"
"32158, 596, 539, 2288, 16615, 13","9336, 11, 1268, 16615, 374, 1364, 30"
"9336, 11, 1268, 16615, 374, 1364, 30","32158, 596, 922, 4330, 7693, 1524, 13"
"32158, 596, 922, 4330, 7693, 1524, 13","12840, 1587, 1364, 1427, 1093, 11, 3582, 30"
"12840, 1587, 1364, 1427, 1093, 11, 3582, 30","32158, 706, 5128, 3177, 14198, 6548, 13"
"32158, 706, 5128, 3177, 14198, 6548, 13","72, 1253, 1440, 902, 3828, 499, 2351, 7556, 922, 13"
"72, 1253, 1440, 902, 3828, 499, 2351, 7556, 922, 13","708, 499, 617, 3970, 1077, 2212, 30"
"708, 499, 617, 3970, 1077, 2212, 30","9891, 11, 602, 617, 13"
"19041, 596, 264, 502, 3828, 304, 2978, 11, 617, 499, 3970, 1077, 3686, 30","72, 9167, 956, 3970, 1077, 3686, 13"
"72, 9167, 956, 3970, 1077, 3686, 13","72, 1781, 430, 1364, 374, 1633, 5128, 13"
"72, 1781, 430, 1364, 374, 1633, 5128, 13","73457, 757, 1268, 1364, 5992, 13"
"73457, 757, 1268, 1364, 5992, 13","32158, 596, 3169, 315, 2875, 13"
"32158, 596, 3169, 315, 2875, 13","12840, 2673, 374, 1364, 30"
"12840, 2673, 374, 1364, 30","32158, 596, 4762, 922, 4330, 7693, 13"
"32158, 596, 4762, 922, 4330, 7693, 13","9210, 596, 6555, 11, 719, 3371, 757, 1148, 1364, 5992, 1093, 13"
"9210, 596, 6555, 11, 719, 3371, 757, 1148, 1364, 5992, 1093, 13","1820, 1176, 3245, 602, 14000, 574, 1077, 6366, 14198, 6548, 13"
"1820, 1176, 3245, 602, 14000, 574, 1077, 6366, 14198, 6548, 13","72, 1781, 602, 2643, 3077, 79932, 1139, 1077, 1603, 13"
"72, 1781, 602, 2643, 3077, 79932, 1139, 1077, 1603, 13","548, 499, 11890, 757, 430, 499, 3077, 3970, 1077, 1603, 30"
"548, 499, 11890, 757, 430, 499, 3077, 3970, 1077, 1603, 30","72, 4510, 779, 13"
"19553, 499, 2322, 279, 502, 3828, 30","2201, 13, 617, 499, 30"
"2201, 13, 617, 499, 30","32158, 596, 832, 315, 279, 4509, 10462, 478, 7724, 520, 279, 2978, 13"
"32158, 596, 832, 315, 279, 4509, 10462, 478, 7724, 520, 279, 2978, 13","12840, 1587, 1364, 1427, 1093, 30"
"12840, 1587, 1364, 1427, 1093, 30","9336, 11, 1364, 596, 5115, 2875, 13"
"9336, 11, 1364, 596, 5115, 2875, 13","5269, 16615, 1053, 499, 2019, 430, 1364, 374, 30"
"5269, 16615, 1053, 499, 2019, 430, 1364, 374, 30","72, 1053, 2019, 1364, 596, 1193, 4330, 7693, 13"
"72, 1053, 2019, 1364, 596, 1193, 4330, 7693, 13","12840, 922, 1077, 28900, 4519, 30"
"12840, 922, 1077, 28900, 4519, 30","32158, 706, 3177, 14198, 6548, 11, 11112, 6366, 13"
"32158, 706, 3177, 14198, 6548, 11, 11112, 6366, 13","72, 1781, 602, 1440, 889, 499, 2351, 7556, 922, 13"
"72, 1781, 602, 1440, 889, 499, 2351, 7556, 922, 13","19553, 499, 3970, 1077, 30"
"35734, 15058, 956, 499, 520, 2978, 13985, 30","72, 5828, 956, 2216, 8430, 1664, 13"
"72, 5828, 956, 2216, 8430, 1664, 13","12840, 574, 5076, 449, 499, 30"
"12840, 574, 5076, 449, 499, 30","2465, 23152, 574, 23268, 13"
"2465, 23152, 574, 23268, 13","3055, 499, 2733, 2731, 1457, 30"
"3055, 499, 2733, 2731, 1457, 30","72, 1541, 956, 2216, 2733, 2288, 1664, 3686, 13"
"72, 1541, 956, 2216, 2733, 2288, 1664, 3686, 13","3055, 499, 1390, 4205, 311, 1304, 499, 2733, 2731, 30"
"3055, 499, 1390, 4205, 311, 1304, 499, 2733, 2731, 30","2201, 11, 9523, 13, 602, 2736, 3952, 1063, 16088, 13"
"2201, 11, 9523, 13, 602, 2736, 3952, 1063, 16088, 13","72, 3987, 499, 2733, 2731, 13"
"72, 3987, 499, 2733, 2731, 13","58517, 499, 13"
"12840, 2944, 656, 499, 617, 369, 7554, 2978, 30","72, 574, 14363, 13"
"72, 574, 14363, 13","5269, 1051, 499, 14363, 30"
"5269, 1051, 499, 14363, 30","72, 1047, 264, 23152, 1815, 13"
"72, 1047, 264, 23152, 1815, 13","23770, 433, 636, 904, 2731, 30"
"23770, 433, 636, 904, 2731, 30","72, 2846, 2103, 8430, 1234, 279, 9282, 13"
"72, 2846, 2103, 8430, 1234, 279, 9282, 13","41450, 499, 1093, 4205, 369, 701, 23152, 30"
"41450, 499, 1093, 4205, 369, 701, 23152, 30","72, 3952, 2555, 6931, 13"
"72, 3952, 2555, 6931, 13","456, 2731, 13"
"456, 2731, 13","46593, 264, 2763, 13"
"35734, 3287, 956, 499, 733, 311, 2978, 13985, 30","72, 20186, 2162, 1606, 602, 5828, 956, 8430, 1664, 13"
"72, 20186, 2162, 1606, 602, 5828, 956, 8430, 1664, 13","12840, 574, 701, 3575, 30"
"12840, 574, 701, 3575, 30","2465, 23152, 574, 91259, 757, 13"
"2465, 23152, 574, 91259, 757, 13","548, 499, 8430, 904, 2731, 30"
"548, 499, 8430, 904, 2731, 30","72, 2846, 2103, 8430, 264, 2697, 14363, 13"
"72, 2846, 2103, 8430, 264, 2697, 14363, 13","72, 2846, 2133, 311, 279, 3637, 11, 1053, 499, 1093, 904, 1069, 59091, 293, 2191, 337, 30"
"72, 2846, 2133, 311, 279, 3637, 11, 1053, 499, 1093, 904, 1069, 59091, 293, 2191, 337, 30","9210, 596, 17339, 13"
"9210, 596, 17339, 13","72, 3987, 499, 2733, 2731, 13"
"23770, 499, 6865, 279, 1695, 3754, 30","2201, 11, 602, 9167, 956, 13"
"2201, 11, 602, 9167, 956, 13","72, 2751, 264, 20862, 520, 856, 2683, 13"
"72, 2751, 264, 20862, 520, 856, 2683, 13","23770, 499, 2216, 30"
"23770, 499, 2216, 30","805, 13610, 11, 602, 1097, 779, 12304, 13"
"805, 13610, 11, 602, 1097, 779, 12304, 13","9336, 11, 82644, 13"
"9336, 11, 82644, 13","58517, 499, 13"
"58517, 499, 13","72, 2846, 779, 6380, 369, 499, 13"
"72, 2846, 779, 6380, 369, 499, 13","54760, 30"
"54760, 30","9891, 13, 499, 2216, 45547, 420, 13"
"9891, 13, 499, 2216, 45547, 420, 13","9514, 1781, 779, 30"
"9514, 1781, 779, 30","9891, 13, 1695, 369, 499, 13"
"19553, 499, 6755, 856, 1695, 3754, 30","9514, 9167, 956, 3309, 757, 4205, 3686, 13"
"9514, 9167, 956, 3309, 757, 4205, 3686, 13","72, 2751, 264, 20862, 520, 990, 6931, 420, 2046, 13"
"72, 2751, 264, 20862, 520, 990, 6931, 420, 2046, 13","285, 430, 1314, 30"
"285, 430, 1314, 30","275, 596, 279, 8206, 13, 602, 1097, 2216, 6380, 13"
"275, 596, 279, 8206, 13, 602, 1097, 2216, 6380, 13","444, 911, 266, 7607, 389, 701, 20862, 13"
"444, 911, 266, 7607, 389, 701, 20862, 13","58517, 499, 1633, 1790, 13"
"58517, 499, 1633, 1790, 13","72, 1097, 2216, 12304, 369, 499, 13"
